sku,nomeCatalogo,marcaCatalogo,slot,set,esitoDocumentale,compatibilitaScheda,collaudoFisico,nota,datiNecessari,fonti,verificaWebIndividuale
soc-helio,Unisoc T7250,Unisoc,soc,11,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-8e2,Snapdragon 8 Elite Gen 5,Qualcomm,soc,10,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-tensor,Tensor G5,Google,soc,11,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-d9400,Dimensity 9400,MediaTek,soc,8,FAMIGLIA_DOCUMENTATA_NON_QUALIFICATA,NON_VERIFICATA,NON_ESEGUITO,"Verificata famiglia e tipo memoria pubblicato; non package/pinout, motherboard o tutti i dati del catalogo.","Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://www.mediatek.com/products/smartphones/mediatek-dimensity-9400,PARZIALE_FAMIGLIA
soc-dim95,Dimensity 9500,MediaTek,soc,10,FAMIGLIA_DOCUMENTATA_NON_QUALIFICATA,NON_VERIFICATA,NON_ESEGUITO,"Verificata famiglia e tipo memoria pubblicato; non package/pinout, motherboard o tutti i dati del catalogo. Contrasto catalogo: 2 nm/Cortex-X930/Immortalis G930 contro N3P/C1/Mali-G1 Ultra nella fonte ufficiale.","Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://www.mediatek.com/products/smartphones/mediatek-dimensity-9500,PARZIALE_FAMIGLIA
ram-4,4 GB LPDDR4X,Micron,ram,2,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
ram-6,6 GB LPDDR4X,Samsung,ram,4,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
ram-8,8 GB LPDDR5,SK Hynix,ram,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
ram-12,12 GB LPDDR5X,Samsung,ram,4,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
ram-16,16 GB LPDDR5X,SK Hynix,ram,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU. La correzione grafica V17 9600 MHz era editoriale, non tecnicamente validata; 9600 Mbps e la misura di data rate pubblicata per la famiglia.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
ram-24,24 GB LPDDR5X,Samsung,ram,8,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
sto-64,64 GB UFS 2.2,Micron,storage,2,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
sto-128,128 GB UFS 3.1,Samsung,storage,4,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
sto-256,256 GB UFS 3.1,Kioxia,storage,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
sto-512,512 GB UFS 4.0,Samsung,storage,8,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
sto-1tb,1 TB UFS 4.0,Samsung,storage,11,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, ball map, tensioni, modalita host/device, boot e firmware; UFS/eMMC non deducibili dal solo rettangolo.",,NO_O_SOLO_FAMIGLIA
board-std,Mainboard SBS-A7,SBS Parts,motherboard,1,PCB_NON_DOCUMENTATO,NON_VERIFICATA,NON_ESEGUITO,Nessun progetto PCB/fabbricazione individuato nei file del repository. Le ricerche mirate SBS-A7 e SBS-X9/SBS-G8 non hanno restituito documentazione pertinente; non prova di inesistenza.,"MPN/revisione PCB, schema, netlist, stack-up, Gerber/ODB++, BOM, XY pick-and-place, pinout, firmware e collaudi.",,NO_O_SOLO_FAMIGLIA
board-pro,Mainboard SBS-X9 Pro,SBS Parts,motherboard,3,PCB_NON_DOCUMENTATO,NON_VERIFICATA,NON_ESEGUITO,Nessun progetto PCB/fabbricazione individuato nei file del repository. Le ricerche mirate SBS-A7 e SBS-X9/SBS-G8 non hanno restituito documentazione pertinente; non prova di inesistenza.,"MPN/revisione PCB, schema, netlist, stack-up, Gerber/ODB++, BOM, XY pick-and-place, pinout, firmware e collaudi.",,NO_O_SOLO_FAMIGLIA
th-gra,Foglio di grafite,CoolCo,thermal,2,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno/spessore, compressione, conducibilita, contatti e verifica termica.",,NO_O_SOLO_FAMIGLIA
th-vc,Vapor chamber,CoolCo,thermal,"2,4",DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno/spessore, compressione, conducibilita, contatti e verifica termica.",,NO_O_SOLO_FAMIGLIA
th-gra-vc,Grafene + VC,CoolCo,thermal,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno/spessore, compressione, conducibilita, contatti e verifica termica.",,NO_O_SOLO_FAMIGLIA
bat-3000,Cella 3000 mAh,ATL,battery,1,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
bat-4500,Cella 4500 mAh,ATL,battery,3,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
bat-5000,Cella 5000 mAh,BYD,battery,5,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
bat-6000,Cella 6000 mAh Si/C,ATL,battery,7,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
bat-7000,Cella 7000 mAh Si/C,BYD,battery,9,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
bat-dual,Doppia cella 5500 mAh,ATL,battery,11,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN e quote, topologia celle, protezione/BMS, NTC, Vmax di carica, correnti ammesse e caricatore qualificato.",,NO_O_SOLO_FAMIGLIA
disp-lcd,"LCD IPS 6.1"" 60Hz",BOE,display,1,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN pannello+touch, disegno quotato, connettore, pinout, MIPI DSI, rail, sequenze e driver.",,NO_O_SOLO_FAMIGLIA
disp-oled,"OLED 6.4"" 90Hz",Samsung Display,display,3,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN pannello+touch, disegno quotato, connettore, pinout, MIPI DSI, rail, sequenze e driver.",,NO_O_SOLO_FAMIGLIA
disp-am,"AMOLED LTPO 6.7"" 120Hz",Samsung Display,display,5,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN pannello+touch, disegno quotato, connettore, pinout, MIPI DSI, rail, sequenze e driver.",,NO_O_SOLO_FAMIGLIA
disp-2k,"AMOLED 2K 6.9"" 144Hz",Samsung Display,display,7,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN pannello+touch, disegno quotato, connettore, pinout, MIPI DSI, rail, sequenze e driver.",,NO_O_SOLO_FAMIGLIA
glass-gg5,Gorilla Glass 5,Corning,glass,1,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN vetro sagomato, quote, foro, adesivo, tolleranze e pannello abbinato.",,NO_O_SOLO_FAMIGLIA
glass-dt,Dragontrail Star 2,AGC,glass,3,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN vetro sagomato, quote, foro, adesivo, tolleranze e pannello abbinato.",,NO_O_SOLO_FAMIGLIA
glass-victus3,Gorilla Glass Victus 2,Corning,glass,5,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN vetro sagomato, quote, foro, adesivo, tolleranze e pannello abbinato.",,NO_O_SOLO_FAMIGLIA
glass-zaf,Zaffiro sintetico,CrystalLux,glass,9,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN vetro sagomato, quote, foro, adesivo, tolleranze e pannello abbinato.",,NO_O_SOLO_FAMIGLIA
back-glossy,Cover vetro lucido,LuxGuard,backcover,1,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
back-matte,Cover vetro satinato,LuxGuard,backcover,3,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
back-cer,Cover in ceramica,LuxGuard,backcover,5,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
back-alu,Cover alluminio,Vertex,backcover,11,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
back-leather,Cover pelle vegana,EcoLine,backcover,11,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Disegno CAD, aperture camere, materiali RF, tolleranze, fissaggi.",,NO_O_SOLO_FAMIGLIA
cam-dual,Dual 12 MP · IMX363,Sony,cameraRear,1,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/OIS, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
cam-triple,Triple 50 MP OIS · IMX906,Sony,cameraRear,3,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/OIS, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
cam-quad,Quad 200 MP · ISOCELL HP2,Samsung,cameraRear,5,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/OIS, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
camf-8,Frontale 8 MP · IMX355,Sony,cameraFront,1,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/AF, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
camf-32,Frontale 32 MP AF · IMX615,Sony,cameraFront,3,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN modulo completo, ottica/AF, connettore e CSI, rail, clock, driver e tarature ISP.",,NO_O_SOLO_FAMIGLIA
spk-mono,Speaker mono bottom,AAC Technologies,speaker,1,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, impedenza, potenza e risposta, codec/amplificatore e volume acustico.",,NO_O_SOLO_FAMIGLIA
spk-stereo,Stereo con capsula,AAC Technologies,speaker,3,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, impedenza, potenza e risposta, codec/amplificatore e volume acustico.",,NO_O_SOLO_FAMIGLIA
spk-dolby,Stereo simmetrico + Atmos,AAC Technologies,speaker,5,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, impedenza, potenza e risposta, codec/amplificatore e volume acustico.",,NO_O_SOLO_FAMIGLIA
usb-20,USB-C 2.0,Amphenol,usb,1,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN connettore/flex, pinout, rating elettrico, controller PD, mux/retimer, ESD e progetto del power path.",,NO_O_SOLO_FAMIGLIA
usb-32,USB-C 3.2 Gen 2,Amphenol,usb,3,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN connettore/flex, pinout, rating elettrico, controller PD, mux/retimer, ESD e progetto del power path.",,NO_O_SOLO_FAMIGLIA
usb-40,USB4 40 Gbps,Amphenol,usb,5,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN connettore/flex, pinout, rating elettrico, controller PD, mux/retimer, ESD e progetto del power path.",,NO_O_SOLO_FAMIGLIA
ant-wifi5,Flex Wi-Fi 5 / 4G,Qorvo,antenna,2,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN antenna e radio, matching RF, bande, geometria massa, connettori e risultati RF.",,NO_O_SOLO_FAMIGLIA
ant-wifi7,Flex Wi-Fi 7 / 5G mmWave,Qorvo,antenna,4,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN antenna e radio, matching RF, bande, geometria massa, connettori e risultati RF.",,NO_O_SOLO_FAMIGLIA
hap-erm,Motorino ERM,Leaderdrive,haptics,2,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, risonanza/tensione, driver e meccanica.",,NO_O_SOLO_FAMIGLIA
hap-x,Motore lineare asse X,Leaderdrive,haptics,4,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, risonanza/tensione, driver e meccanica.",,NO_O_SOLO_FAMIGLIA
mic-1,MEMS singolo,Knowles,mic,"2,8",DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, interfaccia, bias/rail, clock, disposizione e DSP.",,NO_O_SOLO_FAMIGLIA
mic-3,Array 3 MEMS,Knowles,mic,4,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"MPN, interfaccia, bias/rail, clock, disposizione e DSP.",,NO_O_SOLO_FAMIGLIA
sim-nano,Carrello nano-SIM,Luxshare,sim,2,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,MPN e quote del socket/carrello; pinout e controller.,,NO_O_SOLO_FAMIGLIA
sim-esim,Modulo eSIM + nano,Luxshare,sim,4,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,MPN e quote del socket/carrello; pinout e controller.,,NO_O_SOLO_FAMIGLIA
frame-classic,Telaio Classico 2016,RetroWorks,frame,11,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
soc-exy26,Exynos 2600,Samsung,soc,11,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-ten6,Tensor G6,Google,soc,10,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
ram-18,18 GB LPDDR5X,SK Hynix,ram,10,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,"Specifica generica senza MPN. Le cifre del catalogo in MHz richiedono revisione di clock vs data rate; la fonte SK hynix e di famiglia, non prova di ogni SKU.","MPN completo, package PoP/MCP/discreto, densita die, canali, tensioni, timing, bin velocita e qualifica sul SoC.",https://product.skhynix.com/products/dram/lpddr.go?appTypCd=APX02&treeNo=1055,NO_O_SOLO_FAMIGLIA
