sku,name,slot,status,files,planned_set
sim-nano,Carrello nano-SIM,sim,REPRESENTED,set02-sim-tray.png,
sim-esim,Modulo eSIM + nano,sim,REPRESENTED,set04-sim-esim.png,
frame-classic,Telaio Classico 2016,frame,REGENERATED_REVIEW_REQUIRED,set11-frame-classic.png,
soc-exy26,Exynos 2600,soc,REGENERATED,set11-soc-exy26.png,
soc-ten6,Tensor G6,soc,REGENERATED,set10-soc-ten6.png,
ram-18,18 GB LPDDR5X,ram,REGENERATED,set10-ram-18.png,
sto-1tb41,1 TB UFS 4.1,storage,REGENERATED,set10-sto-1tb41.png,
cam-peri2,Periscopio 6x 200 MP,cameraRear,REGENERATED_REVIEW_REQUIRED,set09-cam-peri2.png,
camf-50b,Frontale 50 MP AF OIS,cameraFront,REPRESENTED,set05-camf-50b.png,
spk-dual,Stereo dual driver 1.4 W,speaker,REPRESENTED,set07-spk-dual.png,
usb-40b,USB4 40 Gbps flex,usb,REPRESENTED,set07-usb-40b.png,
hap-xl,LRA X-axis premium,haptics,REPRESENTED,set06-hap-xl.png,
cons-screws,Viti Phillips M1.6 (set),frame,REGENERATED,set11-cons-screws.png,
cons-glue,Colla B-7000 15 ml,frame,REGENERATED,set12-cons-glue.png,
cons-tabs,Linguette adesive batteria,frame,REGENERATED,set12-cons-tabs.png,
sto-2tb,2 TB UFS 4.1,storage,REGENERATED,set10-sto-2tb.png,
disp-oled63,"OLED 6.3"" 120Hz Flat",display,REGENERATED_REVIEW_REQUIRED,set09-disp-oled63.png,
back-blue,Cover vetro Blu Abisso,backcover,REPRESENTED,set07-back-blue.png,
back-green,Cover vetro Verde Salvia,backcover,REGENERATED_REVIEW_REQUIRED,set09-back-green.png,
frame-ss,Telaio acciaio inox 316L,frame,REGENERATED,set12-frame-ss.png,
frame-mg,Telaio magnesio,frame,REGENERATED,set12-frame-mg.png,
frame-flat,Telaio flat-edge 2026,frame,REPRESENTED,set07-frame-flat.png,
soc-8s,Snapdragon 8s Gen 4,soc,REGENERATED_REVIEW_REQUIRED,set08-soc-8s.png,
soc-8g2,Snapdragon 8 Gen 2,soc,REGENERATED,set12-soc-8g2.png,
soc-7g3,Snapdragon 7 Gen 3,soc,REGENERATED,set12-soc-7g3.png,
soc-6g1,Snapdragon 6 Gen 1,soc,REGENERATED,set12-soc-6g1.png,
soc-d9300,Dimensity 9300+,soc,REGENERATED,set12-soc-d9300.png,
soc-d8300,Dimensity 8300,soc,REGENERATED_REVIEW_REQUIRED,set12-soc-d8300.png,
soc-d7300,Dimensity 7300,soc,REGENERATED,set12-soc-d7300.png,
soc-ex2500,Exynos 2500,soc,REPRESENTED,set13-soc-ex2500.png,
soc-tensor4,Tensor G4,soc,REPRESENTED,set13-soc-tensor4.png,
soc-kirin,Kirin 9010,soc,REPRESENTED,set13-soc-kirin.png,
ram-8x,8 GB LPDDR5X,ram,REGENERATED_REVIEW_REQUIRED,set08-ram-8x.png,
ram-12lp4,12 GB LPDDR4X,ram,REPRESENTED,set13-ram-12lp4.png,
ram-32,32 GB LPDDR5X,ram,REGENERATED,set10-ram-32.png,
sto-32,32 GB eMMC 5.1,storage,REPRESENTED,set13-sto-32.png,
sto-256u4,256 GB UFS 4.0,storage,REPRESENTED,set13-sto-256u4.png,
sto-512u31,512 GB UFS 3.1,storage,REPRESENTED,set13-sto-512u31.png,
board-lite,Mainboard SBS-L3,motherboard,REPRESENTED,set05-board-lite.png,
board-rf,Mainboard SBS-RF mmWave,motherboard,REGENERATED_REVIEW_REQUIRED,set09-board-rf.png,
board-game,Mainboard SBS-G8 Game,motherboard,REPRESENTED,set07-board-game.png,
th-cu,Heatpipe rame 0.4 mm,thermal,REGENERATED,set10-th-cu.png,
th-gr2,Doppia grafite,thermal,REGENERATED_REVIEW_REQUIRED,set10-th-gr2.png,
th-coil,VC + bobina Qi2,thermal,REGENERATED_REVIEW_REQUIRED,set08-th-coil.png,
bat-3500,Cella 3500 mAh,battery,REPRESENTED,set13-bat-3500.png,
bat-4000,Cella 4000 mAh,battery,REPRESENTED,set13-bat-4000.png,
bat-5500,Cella 5500 mAh Si/C,battery,REPRESENTED,set13-bat-5500.png,
bat-8000,Cella 8000 mAh stacked,battery,REPRESENTED,set14-bat-8000.png,
bat-stacked,Cella stacked 6800 mAh Si/C,battery,REPRESENTED,set14-bat-stacked.png,
disp-lcd67,"LCD IPS 6.7"" 90Hz",display,REPRESENTED,set14-disp-lcd67.png,
disp-oled61,"OLED 6.1"" 120Hz",display,REPRESENTED,set14-disp-oled61.png,
disp-fold,"OLED pieghevole 7.6""",display,GENERATED_REVIEW_REQUIRED,set14-disp-fold.png,
disp-eco,"TFT 6.5"" 60Hz",display,REPRESENTED,set14-disp-eco.png,
glass-gg3,Gorilla Glass 3,glass,REPRESENTED,set14-glass-gg3.png,
glass-gg7,Gorilla Glass 7i,glass,REPRESENTED,set14-glass-gg7.png,
glass-armor,Gorilla Armor 2,glass,REPRESENTED,set07-glass-armor.png,
glass-utg,Ultra Thin Glass,glass,REPRESENTED,set14-glass-utg.png,
back-red,Cover vetro Rosso lava,backcover,REPRESENTED,set14-back-red.png,
back-black,Cover vetro Nero piano,backcover,REPRESENTED,set15-back-black.png,
back-white,Cover vetro Bianco perla,backcover,REPRESENTED,set15-back-white.png,
back-carbon,Cover fibra di carbonio,backcover,REPRESENTED,set15-back-carbon.png,
back-wood,Cover legno noce,backcover,REPRESENTED,set15-back-wood.png,
cam-uw,Dual 50+50 MP UW,cameraRear,REPRESENTED,set15-cam-uw.png,
cam-peri10,Periscopio 10x 64 MP,cameraRear,REPRESENTED,set15-cam-peri10.png,
cam-1inch,"Sensore 1\"" 50 MP",cameraRear,REPRESENTED,set07-cam-1inch.png,
camf-12,Frontale 12 MP,cameraFront,REGENERATED_REVIEW_REQUIRED,set09-camf-12.png,
camf-50,Frontale 50 MP AF,cameraFront,REPRESENTED,set07-camf-50.png,
spk-stereo-bot,Stereo bottom dual,speaker,REGENERATED_REVIEW_REQUIRED,set09-spk-stereo-bot.png,
spk-hires,Speaker Hi-Res 192 kHz,speaker,REPRESENTED,set15-spk-hires.png,
usb-pd,USB-C PD 3.1 140W,usb,REPRESENTED,set15-usb-pd.png,
usb-dp,USB-C DP 2.1 8K,usb,REGENERATED_REVIEW_REQUIRED,set09-usb-dp.png,
ant-wifi6e,Flex Wi-Fi 6E / 5G sub-6,antenna,REPRESENTED,set06-ant-wifi6e.png,
ant-uwb,Flex UWB + NFC,antenna,REGENERATED_REVIEW_REQUIRED,set08-ant-uwb.png,
hap-z,Motore lineare asse Z,haptics,REGENERATED_REVIEW_REQUIRED,set08-hap-z.png,
hap-dual,Doppio LRA stereo,haptics,REGENERATED,set10-hap-dual.png,
mic-4,Array 4 MEMS beamforming,mic,REPRESENTED,set06-mic-4.png,
sim-dual,Carrello dual nano-SIM,sim,REPRESENTED,set06-sim-dual.png,
sim-hybrid,Carrello ibrido SIM/SD,sim,REGENERATED_REVIEW_REQUIRED,set08-sim-hybrid.png,
cons-thermalp,Pad termico 1 mm (set),frame,REPRESENTED,set15-cons-thermalp.png,
cons-kapton,Nastro Kapton 10 mm,frame,REPRESENTED,set15-cons-kapton.png,
cons-ipa,IPA 99% 100 ml,frame,NOT_GENERATED,,16
cons-tweezers,Pinzette ESD,frame,NOT_GENERATED,,16
